,MONTH,YEAR,NUMBER OF SESSIONS
0,January,2011,22263,
1,February,2011,19657,
2,March,2011,24506,
3,April,2011,23998,
4,May,2011,23242,
5,June,2011,26044,
6,July,2011,27735,
7,August,2011,33934,
8,September,2011,32714,
9,October,2011,34760,
10,November,2011,33535,
11,December,2011,31842,
12,January,2012,33089,
13,February,2012,34428,
14,March,2012,38230,
15,April,2012,39164,
16,May,2012,39272,
17,June,2012,40431,
18,July,2012,46069,
19,August,2012,50608,
20,September,2012,49951,
21,October,2012,53894,
22,November,2012,55583,
23,December,2012,53593,
24,January,2013,50927,
25,February,2013,48984,
26,March,2013,69759,
27,April,2013,114109,
28,May,2013,113753,
29,June,2013,135646,
30,July,2013,146590,
31,August,2013,117172,
32,September,2013,161535,
33,October,2013,182595,
34,November,2013,186981,
35,December,2013,178934,
36,January,2014,195108,
37,February,2014,195439,
38,March,2014,239094,
39,April,2014,256150,
40,May,2014,242929,
41,June,2014,255340,
42,July,2014,284100,
43,August,2014,267902,
44,September,2014,279657,
45,October,2014,301092,
46,November,2014,265207,
47,December ,2014,264618,
48,January,2015,285540,
49,February,2015,249721,
50,March,2015,299267,
51,April,2015,305097,
52,May,2015,285416,
53,June,2015,307731,
54,July,2015,308945,
55,August,2015,308774,
56,September,2015,337671,
57,October,2015,351153,
58,November,2015,310756,
59,December,2015,304772,
60,January,2016,311588,
61,February,2016,310024,
62,March,2016,345530,
63,April,2016,331564,
64,May,2016,308416,
65,June,2016,281530,
66,July,2016,347354,
67,August,2016,368318,
68,September,2016,332612,
69,October,2016,328736,
70,November,2016,321219,
71,December,2016,278743,
72,January,2017,309343,
73,August,2017,335362,
74,September,2017,317941,
75,October,2017,329251,
76,November,2017,304832,
77,December,2017,267183,
78,February,2017,289538,
79,March,2017,324300,
80,April,2017,307825,
81,May,2017,309472,
82,June,2017,319421,
83,July,2017,317996,
84,January,2019,320100,
85,February,2019,323378,
86,March,2019,364293,
87,April,2019,362442,
88,May,2019,353028,
89,June,2019,335318,
90,July,2019,380454,
91,August,2019,355355,
92,September,2019,324903,
93,October,2019,371946,
94,November,2019,328263,
95,December,2019,286783,
96,January,2020,312738,
97,February,2020,297907,
98,March,2020,0,
99,April,2020,0,
100,May,2020,0,
101,June,2020,144247,
102,July,2020,163230,
103,August,2020,181098,
104,September,2020,191218,
105,October,2020,124475,
106,November,2020,177682,
107,December,2020,174043,
108,January,2021,180224,
109,February,2021,158555,
110,March,2021,198186,
111,April,2021,199752,
112,May,2021,191632,
113,June,2021,213307,
114,July,2021,212000,
115,August,2021,212685,
116,September,2021,212040,
117,October,2021,232064,
118,November,2021,203446,
119,December,2021,190995,
120,January,2022,197046,
121,February,2022,186135,
122,March,2022,240962,
123,April,2022,237482,
124,May,2022,257982,
125,June,2022,288739,
126,July,2022,280049,
127,August,2022,274805,
128,September,2022,273468,
129,October,2022,273157,
130,November,2022,247135,
131,December,2022,220745,
132,January,2023,231960,
133,February,2023,230281,
134,March,2023,278190,
135,April,2023,277818,
136,May,2023,287552,
137,June,2023,300387,
138,July,2023,309127,
139,August,2023,332129,
140,September,2023,317310,
141,October,2023,327296,
142,November,2023,293409,
143,December,2023,327382,
144,January,2024,424828,
145,February,2024,335470,
146,March,2024,337704,
147,April,2024,322057,
148,May,2024,333245,
149,June,2024,328502,
150,July,2024,366368,
151,August,2024,374819,
152,September,2024,356087,
153,October,2024,415308,
154,November,2024,355126,
155,December,2024,315210,
156,January,2025,333763,
157,February,2025,306503,
158,March,2025,356066,
159,April,2025,363694,
160,May,2025,357751,
161,June,2025,362284,
162,July,2025,408825,
163,August,2025,386543,
164,September,2025,404853,
165,October,2025,419107,
166,November,2025,348265,
167,December,2025,339437,
